parameter,independent_variables,3
elevator[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-10,-20,0,-0.0471,0,1.368,0,0.0234,0
-10,-20,2,-0.0469,-0.0258,1.383,-0.0038,0.026,0.00214
-10,-20,4,-0.0457,-0.0592,1.377,-0.00722,0.0305,0.00288
-10,-20,6,-0.0458,-0.0863,1.405,-0.01044,0.0356,0.00678
-10,-20,8,-0.0446,-0.1209,1.408,-0.00954,0.041,0.01404
-10,-20,10,-0.0443,-0.1504,1.381,-0.00836,0.0415,0.01954
-10,-20,15,-0.0515,-0.2106,1.278,0.00056,0.0497,0.04136
-10,-20,20,-0.0577,-0.2836,1.255,0.0125,0.1306,0.04002
-10,-20,25,-0.0544,-0.3396,1.222,0.02016,0.1303,0.05056
-10,-20,30,-0.0536,-0.4106,1.168,0.01598,0.1598,0.04812
-10,-15,-30,-0.0524,0.4368,1.003,-0.00264,0.0899,-0.0702
-10,-15,-25,-0.052,0.3797,1.074,-0.00072,0.0661,-0.07488
-10,-15,-20,-0.0469,0.3249,1.117,0.00334,0.0616,-0.06572
-10,-15,-15,-0.0401,0.2636,1.16,0.00717,0.0505,-0.05198
-10,-15,-10,-0.0371,0.1826,1.134,0.00392,0.0119,-0.03312
-10,-15,-8,-0.0367,0.1456,1.119,0.00272,0.0061,-0.02636
-10,-15,-6,-0.0372,0.1068,1.114,0.005,-0.0024,-0.018
-10,-15,-4,-0.0383,0.0701,1.11,0.00658,0.0017,-0.01072
-10,-15,-2,-0.0399,0.0336,1.122,0.00334,0.005,-0.00468
-10,-15,0,-0.0403,0,1.135,0,0.0071,0
-10,-15,2,-0.0396,-0.0337,1.133,-0.0027,0.0091,0.00486
-10,-15,4,-0.0396,-0.0702,1.126,-0.00504,0.0087,0.0113
-10,-15,6,-0.038,-0.11,1.129,-0.00654,0.0102,0.019
-10,-15,8,-0.0365,-0.15,1.137,-0.00584,0.0055,0.02764
-10,-15,10,-0.0364,-0.1902,1.131,-0.00322,0.0052,0.03488
-10,-15,15,-0.0394,-0.2712,1.162,-0.0058,0.0439,0.05282
-10,-15,20,-0.0462,-0.3332,1.114,-0.00126,0.0547,0.06672
-10,-15,25,-0.0513,-0.3882,1.07,0.0022,0.0593,0.07624
-10,-15,30,-0.0517,-0.4452,1.003,0.00436,0.0857,0.07182
-10,-10,-30,-0.046,0.5,0.751,-0.00534,0.0693,-0.07848
-10,-10,-25,-0.0463,0.4441,0.77,-0.00178,0.0582,-0.07534
-10,-10,-20,-0.0425,0.3671,0.773,0.00306,0.0672,-0.06082
-10,-10,-15,-0.0398,0.2896,0.781,0.0038,0.0479,-0.0525
-10,-10,-10,-0.0374,0.1871,0.797,0.00424,0.0264,-0.0348
-10,-10,-8,-0.038,0.1475,0.81,0.00212,0.022,-0.02626
-10,-10,-6,-0.0379,0.1096,0.837,0.00188,0.0244,-0.01992
-10,-10,-4,-0.0389,0.0757,0.846,0.00044,0.0293,-0.01192
-10,-10,-2,-0.0395,0.0377,0.844,0.00064,0.0338,-0.00468
-10,-10,0,-0.0389,0,0.848,0,0.0419,0
-10,-10,2,-0.0385,-0.0339,0.837,-0.00202,0.0309,0.00766
-10,-10,4,-0.0382,-0.0708,0.825,-0.00196,0.0241,0.01494
-10,-10,6,-0.0378,-0.1108,0.822,-0.00298,0.0202,0.02292
